,Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change,Reference Cell Type
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.29,0.222,0.086,0.347,137.4181214238443,0.1184934686599283,Astro_5
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.306,0.245,0.085,0.32,161.42707305062603,0.1143571115860574,Pericyte_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.25,0.486,0.148,0.453,145.17491808739027,-0.1459985771519783,Oligo_1
101,Thal_codes,Astro_1,0.0,0.0,0.0,0.0,0.0,178.75212529433188,-0.0257536071870394,Astro_1
132,CPS_AT8,Astro_1,0.0,-0.018,1.313,0.41,0.848,105.12136219453627,-0.2698056174341228,Micro-PVM_2_1-SEAAD
101,Thal_codes,Astro_1,0.0,-0.19,0.594,0.193,0.552,164.15279350588906,0.0478648829741949,Oligo_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.281,0.417,0.12,0.375,112.9950230566732,-0.1635288340085688,Oligo_2_1-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.214,0.547,0.158,0.425,149.5074813425283,-0.0793713256477088,Oligo_3
101,Thal_codes,Astro_1,0.0,-0.175,0.588,0.19,0.543,155.62184411389728,-0.0295505344691876,Micro-PVM_2_1-SEAAD
39,Sex_codes,Astro_1,0.0,-0.143,0.309,0.084,0.384,164.92042768399983,0.1420571008557383,Astro_2
39,Sex_codes,Astro_1,0.0,-0.104,0.42,0.12,0.476,162.2458466105028,0.0314351555577089,OPC_1
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.32,0.212,0.089,0.348,137.3562977041315,0.1190680142134778,Lymphocyte
132,CPS,Astro_1,0.0,-0.065,0.937,0.303,0.658,136.99639032903602,-0.0732690661048505,Micro-PVM_3-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.176,0.165,0.06,0.458,126.7390839585648,0.0,Micro-PVM_2_1-SEAAD
39,Sex_codes,Astro_1,0.0,-0.17,0.341,0.106,0.435,166.8526375736568,0.0567968789039794,Astro_4
101,Braak_codes,Astro_1,0.6136449391076622,-0.004,1.074,0.357,0.816,206.12562659860333,0.6932109140694688,OPC_2
132,CPS_6e10,Astro_1,0.0,0.0,0.0,0.0,0.0,171.54915959251863,-0.0490205465339591,Astro_1
101,APOE4_Status_codes,Astro_1,0.0,-0.12,0.205,0.059,0.443,144.1336254938656,0.0,Micro-PVM_3-SEAAD
70,Sex_codes,Astro_1,0.0,-0.135,0.297,0.087,0.48,134.40049283794073,0.0876833839742156,Lymphocyte
39,Sex_codes,Astro_1,0.0,-0.076,0.446,0.138,0.565,154.14844567589358,-0.032846985954688,Oligo_2
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.332,0.248,0.091,0.356,169.7567786852431,0.1038801807349103,Oligo_3
70,APOE4_Status_codes,Astro_1,0.0,-0.168,0.205,0.07,0.503,158.74887753603522,0.0,OPC_1
70,APOE4_Status_codes,Astro_1,0.0,-0.157,0.209,0.069,0.45,127.48371489801475,0.0,OPC_2
101,APOE4_Status_codes,Astro_1,0.0,-0.128,0.195,0.059,0.485,156.39168376289302,0.0,Micro-PVM_2_3-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.159,0.19,0.064,0.464,126.47524592703266,0.0,Lymphocyte
70,Sex_codes,Astro_1,0.0,-0.129,0.333,0.101,0.491,164.2547447290882,0.0576315385616486,Astro_5
39,Sex_codes,Astro_1,0.0,-0.154,0.384,0.121,0.495,160.2611678575212,0.0463947702542008,Micro-PVM_2
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.208,0.505,0.155,0.464,114.25410845317715,-0.1466090004649357,Lymphocyte
132,CPS_6e10,Astro_1,0.0,-0.128,0.674,0.188,0.534,151.13917383618067,-0.0500346907553496,Pericyte_1
70,Sex_codes,Astro_1,0.0,-0.175,0.308,0.105,0.489,162.14528294493155,0.0521232558242334,Micro-PVM_2_3-SEAAD
39,Sex_codes,Astro_1,0.0,-0.136,0.353,0.113,0.48,162.28746608825412,0.0346065670630535,Oligo_2_1-SEAAD
70,Sex_codes,Astro_1,0.0,-0.103,0.343,0.102,0.522,153.51256146335876,-0.0442924154536534,Oligo_1
101,APOE4_Status_codes,Astro_1,0.0,-0.104,0.191,0.055,0.449,149.12534160547085,0.0,Pericyte_1
101,ADNC_codes,Astro_1,0.0,-0.115,0.563,0.177,0.627,157.69832410330162,0.0,Oligo_2
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.266,0.297,0.094,0.366,173.93564997668614,0.1034438633662648,Astro_6-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.146,0.181,0.059,0.485,126.2545619057343,0.0,Micro-PVM_4-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.266,0.374,0.12,0.401,115.31475564471062,-0.1439457556571741,Micro-PVM_3-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.28,0.558,0.168,0.454,142.53295050766388,-0.1338683209235243,Micro-PVM_2_3-SEAAD
39,Sex_codes,Astro_1,0.0,-0.164,0.378,0.116,0.464,166.4532983182783,0.0560934717497988,Micro-PVM_2_3-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.254,0.58,0.166,0.428,142.03704828152283,-0.1697508931342378,Pericyte_2-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.141,0.198,0.06,0.483,157.9632553008919,0.0,Oligo_3
132,CPS_AT8,Astro_1,0.6789271235679277,-0.021,1.241,0.394,0.855,208.7248885905409,0.7252671222040011,Micro-PVM_4-SEAAD
101,ADNC_codes,Astro_1,0.0,-0.15,0.49,0.162,0.564,157.99614020648616,0.0,Astro_4
39,Sex_codes,Astro_1,0.0,-0.176,0.272,0.092,0.41,135.96475963934054,0.1034447079078799,Oligo_2_1-SEAAD
101,Braak_codes,Astro_1,0.6637188654867708,-0.0,1.206,0.369,0.892,209.6147550178741,0.7279522098175507,Oligo_2_1-SEAAD
70,Sex_codes,Astro_1,0.0,-0.148,0.301,0.094,0.442,155.90813428707597,0.0641707578338845,Pericyte_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.28,0.502,0.157,0.456,141.78554895286203,-0.1690074522340411,Oligo_2_1-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.327,0.225,0.091,0.343,137.45710341866234,0.1171199702233852,Micro-PVM_2_1-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.247,0.6,0.168,0.459,135.68133557201213,-0.1363031665694412,Pericyte_1
70,APOE4_Status_codes,Astro_1,0.0,-0.227,0.207,0.076,0.484,126.55706639978828,0.0,Oligo_2_1-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.164,0.589,0.158,0.444,114.78577398002282,-0.1429176410925136,Micro-PVM_2_1-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.157,0.183,0.065,0.482,157.69832410330162,0.0,Oligo_2
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.224,0.511,0.146,0.42,145.8550685594641,-0.1222108693649196,OPC_1
70,Sex_codes,Astro_1,0.0,-0.159,0.308,0.098,0.489,157.6616766091983,-0.0027569825534291,Oligo_3
70,Sex_codes,Astro_1,0.0,-0.129,0.334,0.09,0.437,135.04390953928265,0.0915670827685188,Micro-PVM_2_1-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.156,0.564,0.15,0.428,144.60133686671148,-0.1262226165219635,Astro_5
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.271,0.175,0.08,0.409,167.6448235703161,0.1236326631007762,Oligo_2_1-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.353,0.214,0.087,0.349,160.75554814260636,0.1099111822890122,Oligo_3
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.325,0.192,0.085,0.349,166.83980421911215,0.0801600175255595,Astro_5
70,Sex_codes,Astro_1,0.0,-0.141,0.331,0.094,0.432,151.91976833403507,0.0759026638887549,Micro-PVM_3-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.132,0.235,0.068,0.495,158.44092332495617,0.0,Oligo_2_1-SEAAD
101,ADNC_codes,Astro_1,0.0,-0.137,0.53,0.167,0.583,159.9834958568753,0.0,VLMC_1
101,ADNC_codes,Astro_1,0.0,-0.083,0.569,0.171,0.539,162.85987389991578,0.0396861765988466,Oligo_2_1-SEAAD
39,Sex_codes,Astro_1,0.0,-0.179,0.336,0.101,0.461,137.79427097257388,0.100669983563563,Endo_3
101,APOE4_Status_codes,Astro_1,0.0,-0.134,0.229,0.064,0.465,145.01033525204113,0.0,Oligo_2_1-SEAAD
