,Covariate,Cell Type,Final Parameter,HDI 3%,HDI 97%,SD,Inclusion probability,Expected Sample,log2-fold change,Reference Cell Type
101,Thal_codes,Astro_1,0.0,-0.187,0.658,0.207,0.539,155.92187338709593,-0.0333807542563263,Oligo_3
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.191,0.55,0.163,0.517,111.50349458170892,-0.14635609688418,OPC_1
70,Sex_codes,Astro_1,0.0,-0.136,0.319,0.102,0.499,167.56259442515343,0.1040469761581847,OPC_1
39,Sex_codes,Astro_1,0.0,-0.117,0.411,0.118,0.474,164.82563697129987,0.0332537608853576,Oligo_3
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.281,0.258,0.087,0.338,169.95973199861106,0.1052605033007518,Endo_1
101,ADNC_codes,Astro_1,0.0,-0.125,0.589,0.168,0.505,157.9489393234418,0.0,Astro_3
70,Sex_codes,Astro_1,0.0,-0.127,0.297,0.09,0.492,134.35757123385105,0.1226325988852105,OPC_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.333,0.443,0.136,0.404,116.45102023749588,-0.1421226440841222,Endo_3
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.341,0.2,0.083,0.301,132.4653342094604,0.1021698373907123,OPC_1
70,Sex_codes,Astro_1,0.0,-0.14,0.315,0.092,0.449,156.65139063750084,0.1114018485506454,Oligo_2_1-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.158,0.161,0.061,0.486,123.408778542854,0.0,OPC_1
70,APOE4_Status_codes,Astro_1,0.0,-0.148,0.196,0.064,0.486,159.9834958568753,0.0,VLMC_1
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.235,0.328,0.088,0.326,167.53141479780896,0.1043236414738335,Astro_3
101,Braak_codes,Astro_1,0.5398572929814294,-0.0,1.097,0.338,0.846,205.05972288713264,0.633785623579489,Ependymal
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.248,0.509,0.157,0.437,147.5073034687719,-0.0798667632275269,OPC_1
132,CPS_AT8,Astro_1,0.6909440622865615,-0.034,1.312,0.405,0.882,196.6930001275809,0.6725005935725985,OPC_1
101,Thal_codes,Astro_1,0.0,-0.101,0.658,0.196,0.533,155.90862216325388,-0.0806803464695905,Astro_6-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.164,0.198,0.068,0.497,161.06989785257494,0.0,Oligo_3
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.256,0.526,0.16,0.453,132.78313045731946,-0.127083858474402,Oligo_2_1-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.284,0.23,0.082,0.344,132.3275090660458,0.1216469642708482,Oligo_3
70,APOE4_Status_codes,Astro_1,0.0,-0.168,0.259,0.077,0.473,159.40732779971458,0.0,Oligo_2_1-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.164,0.202,0.068,0.476,132.1575207056542,0.0,Ependymal
132,CPS_6e10,Astro_1,0.0,-0.246,0.501,0.166,0.485,157.82256658894156,0.0,Astro_5
132,CPS_AT8,Astro_1,0.0,-0.001,1.254,0.417,0.827,109.16040998413858,-0.2124053262199364,Lymphocyte
39,Sex_codes,Astro_1,0.0,-0.107,0.381,0.115,0.472,165.01342665242333,0.0554089985352077,Oligo_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.218,0.579,0.173,0.491,141.26873530260426,-0.1805817735004443,Micro-PVM_2_3-SEAAD
39,Sex_codes,Astro_1,0.0,-0.225,0.282,0.092,0.385,136.9933699157938,0.1037931073643126,OPC_2
70,APOE4_Status_codes,Astro_1,0.0,-0.161,0.256,0.075,0.442,158.79598309612433,0.0,Oligo_1
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.278,0.258,0.089,0.354,137.08898610400146,0.1001165932422915,Astro_4
132,CPS_6e10,Astro_1,0.0,-0.156,0.637,0.192,0.574,155.90348210973175,0.0,OPC_1
39,Sex_codes,Astro_1,0.0,-0.109,0.378,0.11,0.459,165.9685342108762,0.0581917984150705,Oligo_2_1-SEAAD
101,ADNC_codes,Astro_1,0.0,-0.119,0.534,0.167,0.578,158.74887753603522,0.0,OPC_1
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.216,0.518,0.157,0.493,115.40533787961816,-0.1482861196981535,Astro_4
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.396,0.411,0.136,0.403,116.1413390369098,-0.1344313926102608,OPC_2
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.318,0.491,0.155,0.446,136.19047472434286,-0.1293315441539101,Oligo_3
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.211,0.503,0.143,0.402,135.76746634193444,-0.0862691355430074,Micro-PVM_3-SEAAD
39,Sex_codes,Astro_1,0.0,-0.118,0.358,0.106,0.445,165.242294617414,0.0578930261704368,Micro-PVM_4-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.333,0.27,0.091,0.349,166.04983831530754,0.0984245480189189,OPC_2
70,Sex_codes,Astro_1,0.0,-0.164,0.284,0.093,0.479,156.474177750454,0.0709672474093803,Oligo_3
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.344,0.181,0.085,0.392,155.83722592620882,0.1126329544911351,Micro-PVM_3-SEAAD
101,Braak_codes,Astro_1,0.0,-0.001,1.209,0.379,0.85,112.53387912709502,-0.1914865227958631,Endo_3
132,CPS_6e10,Astro_1,0.0,-0.243,0.563,0.168,0.501,156.39168376289302,0.0,Micro-PVM_2_3-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.3,0.399,0.131,0.428,154.66717391942285,-0.0280002921939811,Oligo_2
101,APOE4_Status_codes,Astro_1,0.0,-0.132,0.199,0.061,0.476,157.82256658894156,0.0,Astro_5
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.239,0.492,0.134,0.418,145.9482817836145,-0.1422296693881082,Oligo_3
101,APOE4_Status_codes,Astro_1,0.0,-0.138,0.219,0.066,0.458,127.89821013648462,0.0,Astro_4
101,APOE4_Status_codes,Astro_1,0.0,-0.146,0.18,0.057,0.483,155.90348210973175,0.0,OPC_1
70,APOE4_Status_codes,Astro_1,0.0,-0.138,0.223,0.067,0.471,149.4551910042983,0.0,Astro_2
132,CPS,Astro_1,0.0,-0.154,0.931,0.294,0.642,137.94016690740838,-0.0721131108661183,Oligo_2_1-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,0.0,0.0,0.0,0.0,177.47829575548084,0.0,Astro_1
70,APOE4_Status_codes,Astro_1,0.0,-0.189,0.222,0.076,0.468,128.5069087518902,0.0,Endo_3
132,CPS_AT8,Astro_1,0.0,-0.025,1.256,0.417,0.813,110.79396831085336,-0.2071167323013024,Astro_4
70,Sex_codes,Astro_1,0.0,-0.131,0.331,0.096,0.484,136.20414863094825,0.0907745722935276,Astro_4
70,Sex_codes,Astro_1,0.0,-0.116,0.311,0.094,0.509,137.25458410593416,0.1205188168461927,Micro-PVM_4-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.162,0.192,0.068,0.501,157.99614020648616,0.0,Astro_4
39,Sex_codes,Astro_1,0.0,-0.162,0.3,0.091,0.423,136.90439822620044,0.103645908412036,Micro-PVM_3-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,0.0,0.0,0.0,0.0,181.971687442516,0.0,Astro_1
70,APOE4_Status_codes,Astro_1,0.0,-0.138,0.212,0.066,0.485,160.63550417334991,0.0,Oligo_1
70,APOE4_Status_codes,Astro_1,0.0,-0.137,0.184,0.062,0.487,162.4819348648379,0.0,Oligo_4
101,APOE4_Status_codes,Astro_1,0.0,-0.125,0.175,0.059,0.479,147.99248232304927,0.0,Oligo_1
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.308,0.209,0.079,0.307,138.76531771436325,0.1200688568775377,OPC_2_1-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.172,0.241,0.079,0.488,158.3144352952252,0.0,OPC_2
70,Sex_codes,Astro_1,0.0,-0.116,0.344,0.109,0.548,167.2369777963806,0.0006147020563775,Oligo_2
101,Thal_codes,Astro_1,0.0,-0.124,0.614,0.191,0.531,156.88896904491446,-0.0332136918048211,OPC_2_2-SEAAD
101,Braak_codes,Astro_1,0.6286584489083641,-0.0,1.195,0.356,0.899,204.30193881069485,0.6947826639287341,Astro_3
70,Sex_codes,Astro_1,0.0,-0.136,0.332,0.098,0.5,149.31513187262465,0.0447433389116171,OPC_1
70,Sex_codes,Astro_1,0.0,-0.158,0.295,0.099,0.494,162.01213636100974,0.0581841795578281,OPC_2_1-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.301,0.499,0.16,0.463,115.69821121736442,-0.1422116169052365,OPC_2_1-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.238,0.459,0.127,0.413,115.40070529409368,-0.1423357319946937,Oligo_1
70,APOE4_Status_codes,Astro_1,0.0,-0.128,0.252,0.069,0.491,158.230222761571,0.0,OPC_2
132,CPS_6e10,Astro_1,0.0,-0.207,0.641,0.192,0.523,158.29826004036698,0.0,Monocyte
70,Sex_codes,Astro_1,0.0,-0.135,0.352,0.11,0.517,161.90076419717332,0.0,Astro_6-SEAAD
70,Sex_codes,Astro_1,0.0,-0.139,0.306,0.095,0.49,135.8140149370689,0.089054185677511,OPC_2_1-SEAAD
39,Sex_codes,Astro_1,0.0,-0.128,0.408,0.119,0.473,162.47602264010465,0.0319709702588809,Lymphocyte
70,APOE4_Status_codes,Astro_1,0.0,-0.22,0.23,0.079,0.463,126.21822422790711,0.0,Astro_3
70,Sex_codes,Astro_1,0.0,-0.13,0.315,0.09,0.461,159.78570052639984,0.1106144128616652,Oligo_1
101,Thal_codes,Astro_1,0.0,-0.207,0.605,0.192,0.519,156.34756610062644,-0.031261417134168,Pericyte_2-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.145,0.245,0.067,0.47,127.68403745293988,0.0,OPC_2_1-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.29,0.528,0.158,0.452,145.72038165887767,-0.0785725953166542,Oligo_2_1-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.172,0.245,0.082,0.488,160.10562404369114,0.0,Micro-PVM_2_3-SEAAD
70,Sex_codes,Astro_1,0.0,-0.136,0.366,0.109,0.525,162.5285798616797,0.0547810988097414,Pericyte_1
39,Sex_codes,Astro_1,0.0,-0.18,0.283,0.092,0.446,135.070547773112,0.0977928970192981,Astro_3
101,ADNC_codes,Astro_1,0.0,-0.135,0.473,0.142,0.537,160.73462027306127,0.0,Micro-PVM_2_3-SEAAD
132,CPS_AT8,Astro_1,0.0,-0.01,1.261,0.402,0.828,106.38331266476608,-0.2633063095766838,OPC_2_1-SEAAD
132,CPS_AT8,Astro_1,0.0,-0.035,1.235,0.414,0.806,106.86616816150992,-0.2650236216112855,SMC-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.27,0.605,0.164,0.416,144.12735602332617,-0.1409116666775778,Lymphocyte
70,Sex_codes,Astro_1,0.0,-0.121,0.336,0.101,0.532,136.88853299178675,-0.0302022568965782,Oligo_4
101,APOE4_Status_codes,Astro_1,0.0,-0.113,0.202,0.061,0.462,128.728288186513,0.0,Micro-PVM_1
101,APOE4_Status_codes,Astro_1,0.0,-0.113,0.217,0.058,0.483,161.90076419717332,0.0,Astro_6-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.215,0.166,0.07,0.482,159.31607869847258,0.0,Micro-PVM_2_1-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.282,0.542,0.148,0.418,144.2138342853744,-0.1612669611742891,Ependymal
132,CPS_AT8,Astro_1,0.0,-0.002,1.33,0.424,0.808,107.16435137487196,-0.2645040545984842,Micro-PVM_1
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.257,0.522,0.149,0.42,140.5143958421773,-0.0792361073462429,Pericyte_2-SEAAD
101,Braak_codes,Astro_1,0.6712692719734856,-0.024,1.222,0.392,0.856,212.5542155526471,0.7388430986739135,Oligo_1
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.271,0.23,0.084,0.349,139.40758808567534,0.1184802740163595,SMC-SEAAD
39,Sex_codes,Astro_1,0.0,-0.096,0.38,0.105,0.452,162.4796732960167,0.038234055790705,OPC_2
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.269,0.516,0.135,0.381,143.97120454959816,-0.17342288728887,Lymphocyte
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.158,0.545,0.145,0.418,127.47929611093738,-0.1329408972376421,Oligo_4
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.241,0.295,0.086,0.361,134.4013840242221,-0.0566558608859833,Oligo_4
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.234,0.45,0.126,0.424,170.76359984831294,0.0307213061332328,Oligo_2
70,APOE4_Status_codes,Astro_1,0.0,-0.236,0.213,0.078,0.455,127.36666810967368,0.0,Oligo_1
101,ADNC_codes,Astro_1,0.0,-0.17,0.521,0.171,0.553,159.31607869847258,0.0,Micro-PVM_2_1-SEAAD
132,CPS_6e10,Astro_1,0.0,-0.204,0.598,0.188,0.556,152.36366389795364,-0.0503639250199568,Endo_3
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.343,0.226,0.085,0.332,160.1831910612389,0.1097687145112724,Pericyte_2-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.235,0.492,0.151,0.442,147.24126729546262,-0.0797356381044379,OPC_2_1-SEAAD
70,Sex_codes,Astro_1,0.0,-0.161,0.288,0.091,0.42,139.98105810290167,0.1244028018150964,SMC-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.127,0.169,0.058,0.488,158.29866922838744,0.0,Oligo_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.244,0.548,0.145,0.398,141.70987675874682,-0.1659461092740473,Micro-PVM_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.233,0.477,0.15,0.437,143.09294254085674,-0.1489453576257602,Endo_1
39,Sex_codes,Astro_1,0.0,-0.165,0.337,0.099,0.433,136.68754253336954,0.1018939908807403,Oligo_1
132,CPS,Astro_1,0.0,-0.093,0.939,0.293,0.652,146.1400348909466,-0.0181724352338863,Oligo_1
101,APOE4_Status_codes,Astro_1,0.0,-0.159,0.222,0.072,0.478,128.41634271375818,0.0,SMC-SEAAD
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.156,0.577,0.151,0.444,115.97177979713396,-0.1470550293195426,SMC-SEAAD
70,APOE4_Status_codes,Astro_1,0.0,-0.151,0.224,0.069,0.471,160.73462027306127,0.0,Micro-PVM_2_3-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.102,0.195,0.058,0.501,158.29826004036698,0.0,Monocyte
70,APOE4_Status_codes,Astro_1,0.0,-0.151,0.219,0.068,0.5,158.91506069340937,0.0,Lymphocyte
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.207,0.528,0.152,0.44,143.76133272545815,-0.1683745889846463,Monocyte
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.213,0.491,0.145,0.443,143.8812582538381,-0.1719371192310658,Endo_2
70,Sex_codes,Astro_1,0.0,-0.128,0.318,0.093,0.486,135.52377993412375,0.0912681882657175,OPC_2_2-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.222,0.567,0.135,0.401,115.1303474539186,-0.1476772405744297,Pericyte_1
39,Sex_codes,Astro_1,0.0,-0.133,0.425,0.127,0.501,164.4874055650858,0.0341863270624076,Oligo_1
132,CPS_6e10,Astro_1,0.0,-0.192,0.594,0.188,0.544,150.13918331657197,-0.0516171695911816,OPC_2_1-SEAAD
101,APOE4_Status_codes,Astro_1,0.0,-0.163,0.216,0.07,0.47,127.2157972255322,0.0,OPC_2_2-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.322,0.239,0.087,0.319,170.16336576327373,0.1042750766658026,Monocyte
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.305,0.427,0.139,0.409,140.24743907687937,-0.0746710215366484,Astro_3
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.18,0.624,0.167,0.464,141.50096107759396,-0.1838688494584332,Micro-PVM_2_3-SEAAD
39,Sex_codes,Astro_1,0.0,-0.091,0.363,0.109,0.481,166.32660763883217,0.0580008004359294,Pericyte_2-SEAAD
101,Braak_codes,Astro_1,0.6690498388461744,-0.006,1.178,0.376,0.86,213.0481081953108,0.7416563535410492,Micro-PVM_3-SEAAD
70,Sex_codes,Astro_1,0.0,-0.126,0.345,0.1,0.493,159.42658669153153,0.1102467907276297,Astro_3
39,Sex_codes,Astro_1,0.0,-0.136,0.396,0.12,0.481,161.90556083131753,0.0352632232299965,Astro_4
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.328,0.21,0.093,0.371,169.3786492245697,0.1150882309710663,Micro-PVM_2_3-SEAAD
132,CPS_AT8,Astro_1,0.0,-0.016,1.228,0.399,0.831,109.9981906302036,-0.2097980377864011,OPC_2_2-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.292,0.19,0.08,0.344,152.89684467433813,0.0499131852203479,Astro_3
70,APOE4_Status_codes,Astro_1,0.0,-0.19,0.22,0.076,0.46,127.41391879487075,0.0,Micro-PVM_3-SEAAD
8,method[T.10xV3.1_HT],Astro_1,0.0,-0.327,0.198,0.088,0.351,137.11471220491225,0.1190478613263248,Micro-PVM_4-SEAAD
132,CPS,Astro_1,0.0,-0.194,0.779,0.273,0.605,147.2733859436264,-0.0180287010083377,Pericyte_1
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.202,0.504,0.14,0.408,145.25630736366247,-0.1253442036465635,Oligo_2_1-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.229,0.565,0.158,0.453,141.33750383470877,-0.1675456382219217,Micro-PVM_4-SEAAD
132,CPS_6e10,Astro_1,0.0,-0.181,0.565,0.183,0.554,157.9632553008919,0.0,Oligo_3
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.194,0.531,0.149,0.441,114.39443660219165,-0.1423186265669107,Micro-PVM_4-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.276,0.565,0.165,0.463,135.16912773363916,-0.1449473252280174,Astro_2
101,APOE4_Status_codes,Astro_1,0.0,-0.118,0.202,0.057,0.494,156.47284776041354,0.0,Pericyte_1
132,CPS,Astro_1,0.0,-0.109,0.889,0.292,0.669,137.47963606136437,-0.0743991016641896,OPC_1
39,Age_at_Death_binned_codes,Astro_1,0.0,-0.16,0.579,0.16,0.481,114.96837862721954,-0.1460407197273002,OPC_2_2-SEAAD
8,Age_at_Death_binned_codes,Astro_1,0.0,-0.205,0.572,0.157,0.444,144.94135383989186,-0.1244200391272826,Astro_4
101,Thal_codes,Astro_1,0.0,-0.197,0.608,0.195,0.549,155.04145868675155,-0.0301387587604759,OPC_2
101,APOE4_Status_codes,Astro_1,0.0,-0.084,0.207,0.061,0.534,167.16573681079754,0.0,Oligo_2
