Gene,Ensembl ID,Probesets
AQP4,ENSG00000171885,7
ARHGAP24,ENSG00000138639,5
CCDC85A,ENSG00000055813,7
CD44,ENSG00000026508,4
CLU,ENSG00000120885,5
CTNNA3,ENSG00000183230,6
EBF1,ENSG00000164330,3
FBXL7,ENSG00000183580,5
LHFPL6,ENSG00000183722,6
MAML2,ENSG00000184384,3
MGAT4C,ENSG00000182050,5
MYL9,ENSG00000101335,7
NKAIN3,ENSG00000185942,4
PICALM,ENSG00000073921,5
PREX2,ENSG00000046889,4
PTPRK,ENSG00000152894,4
SPARCL1,ENSG00000152583,6
XIST,ENSG00000229807,5
A2M,ENSG00000175899,7
ABCG2,ENSG00000118777,4
ADAMTS9,ENSG00000163638,6
ADGRV1,ENSG00000164199,4
BRINP3,ENSG00000162670,7
CDH18,ENSG00000145526,7
CPNE8,ENSG00000139117,6
CXCL14,ENSG00000145824,4
DCC,ENSG00000187323,6
FCHSD2,ENSG00000137478,7
FGF13,ENSG00000129682,4
FSTL5,ENSG00000168843,3
GPCPD1,ENSG00000125772,3
GRIK1,ENSG00000171189,3
IL1RAPL2,ENSG00000189108,6
KCNC2,ENSG00000166006,4
LINGO2,ENSG00000174482,4
NFIB,ENSG00000147862,7
NOS1,ENSG00000089250,7
NR2F2-AS1,ENSG00000247809,7
PDE10A,ENSG00000112541,5
RGS6,ENSG00000182732,3
SEMA6D,ENSG00000137872,6
SLC35F1,ENSG00000196376,6
SORCS3,ENSG00000156395,6
SST,ENSG00000157005,3
TCF7L2,ENSG00000148737,5
VCAN,ENSG00000038427,7
ZNF385D,ENSG00000151789,3
PHYHD1,ENSG00000175287,8
TSPAN7,ENSG00000156298,8
EGF,ENSG00000138798,8
RHPN1,ENSG00000158106,8
GLRX,ENSG00000173221,8
LUCAT1,ENSG00000248323,8
PTCHD1,ENSG00000165186,8
S100B,ENSG00000160307,8
COL27A1,ENSG00000196739,8
HIF3A,ENSG00000124440,8
CSRP1,ENSG00000159176,8
CD38,ENSG00000004468,8
GABRA2,ENSG00000151834,8
FERMT2,ENSG00000073712,8
NFIC,ENSG00000141905,8
MFSD11,ENSG00000092931,8
NPY1R,ENSG00000164128,8
TAC1,ENSG00000006128,7
